지역,2018 개수,2018 무게,2019 개수,2019 무게,2020 개수,2020 무게,2021 개수,2021 무게,2022 개수,2022 무게
강화여차리,2004,357.6,1485,81.6,1005,36.1,415,13.1,656,29.3
안산말부흥,75,2.2,57,1.7,50,1.5,114,2.9,30,0.7
태안백리포,126,140.2,135,103.4,1085,47,941,56.5,1484,41.6
보령석대도,297,813.4,179,196.8,123,152.3,106,122.6,143,64.2
부안변산,165,346.1,153,215.6,133,158.8,174,181.6,186,86.5
신안임자도,340,149.6,532,104,112,44.3,132,30,52,11.4
진도하조도,157,23.8,109,26.5,46,2.3,194,8.6,82,19.9
해남묵동리,62,11.9,313,36,69,2.9,311,11.7,208,9.7
고흥신흥,704,188.8,186,28.1,256,42.9,328,27.9,441,37.9
여수반월,1488,54.1,382,11.8,310,14,251,8,288,5.6
사천아두도,416,52,1240,35.6,944,59.1,407,26.6,310,10.3
통영망일봉,643,19.9,1177,27.8,1271,52.2,1361,66.8,1162,70.9
마산봉암,758,15.2,644,19.3,819,175.7,903,9.7,1154,18.3
부산해양대,1379,11.7,2324,12.3,2439,14.6,1509,18.2,2296,12.5
울산대왕암,1256,45.2,2117,15.6,2180,16.9,1861,27.7,2519,30.7
포항칠포,1115,52.2,1047,32.3,1158,92.5,1256,56.9,1369,19.2
울진후정,572,9.5,800,21.3,467,13,459,13.4,731,13
강릉송정,131,9.7,186,1.8,541,8.9,781,7.6,979,32.3
속초청초,685,49.3,977,14.4,967,25.1,1118,18.7,1375,15.8
인천백령도,304,115.9,114,63.8,62,38.4,657,12.9,956,46.3
인천영종도,71,6.4,71,5.5,95,4.5,81,5.5,88,2.2
인천영흥도,100,7.8,107,3.3,142,2.2,59,2.2,86,4.4
태안안면도,306,553.8,181,180.2,1122,34.2,850,64.6,1901,83.6
서천다사항,134,89.6,303,243.3,116,82.1,179,112,242,96.5
고창동호,253,108.4,202,37,349,80.8,728,104.3,245,26.9
영광백바위,373,139.6,211,50.4,182,89.9,246,78.8,156,24.4
신안고장,380,100.2,400,210.8,679,123.9,534,109.8,329,5.2
해남예락,241,83.2,205,114.8,372,34.2,385,113.5,265,40.5
해남송평,359,125,258,117.4,902,114.1,440,68.1,328,85.6
제주김녕리,1151,195.9,1193,83.3,1176,72.4,833,146,1930,83.5
완도신지도,206,83.4,328,148.4,1483,166.1,765,88.6,747,53.6
여수백야도,809,45.5,348,12.1,333,10.5,368,11,321,13.8
고흥염포,529,51.3,652,78.8,308,16.1,367,10.1,493,24
남해유구,365,62.9,174,12.9,320,29.5,311,33.7,198,18.6
거제두모,8075,77.7,5282,54.7,3814,40.3,4614,54.7,3987,95.2
울주나사리,2939,113.3,1039,54.6,977,44.6,1450,58.7,1619,61.5
동해노봉,159,2.7,368,7.8,703,14.1,1163,11.7,1032,21.9
영덕고래불,516,25.7,722,8.6,1118,24.3,421,3.4,574,7.4
포항구룡포,2103,53.1,4494,213.6,3788,199.7,4181,236.8,2872,53.6
제주사계리,71,3.4,25,11.4,197,25,441,61.9,663,21.4
고성하일,0,0,0,0,0,0,2004,46.4,2835,40.3
군산선유도,0,0,0,0,0,0,199,4,48,0.7
당진석문,0,0,0,0,0,0,218,2,108,1.4
보령삽시도,0,0,0,0,0,0,307,8.6,297,2.1
부산가덕도,0,0,0,0,0,0,2613,80.9,5305,57.1
부산일광,0,0,0,0,0,0,2310,37.8,3237,34.1
시흥정왕,0,0,0,0,0,0,668,8.4,1223,11.8
신안압해도,0,0,0,0,0,0,261,66.8,1969,286
신안우이도,0,0,0,0,0,0,3440,399.6,1686,785.6
신안흑산도,0,0,0,0,0,0,8017,724.6,5276,208.7
여수거문도,0,0,0,0,0,0,3280,130.7,4438,146.7
여수안도,0,0,0,0,0,0,9999,194.4,8684,257.7
완도보길도,0,0,0,0,0,0,2710,96.9,1255,75.2
완도평일도,0,0,0,0,0,0,893,98.3,996,61.5
울릉현포,0,0,0,0,0,0,1530,407.3,1615,186.7
울산주전,0,0,0,0,0,0,1610,138.7,1165,11.2
제주위미,0,0,0,0,0,0,1986,42.8,1008,21.6
진도가사도,0,0,0,0,0,0,1501,186.6,831,124
통영욕지도,0,0,0,0,0,0,49102,880.6,105781,625.6
화성서신,0,0,0,0,0,0,110,1.8,120,1.5
